order,central_frac,baseline_m,tilt_m,center_m,score,rstd,banding,edge_bias,x_slope,rough_B,rough_X
2,0.7,0.4,0.4,0.6,39.375575657238336,0.021534031381309632,38.31110963179881,0.1961905814708987,0.4538680191261342,0.0002053350581887551,0.001435433339793235
2,0.7,0.4,0.4,1.0,39.31805037712349,0.021555459146058147,38.27362773717942,0.1897015579602958,0.45341180586306185,0.0002053350581887551,0.0009636684553697705
2,0.7,0.4,0.4,1.6,39.15530248047761,0.021617928319321515,38.16288981750435,0.1728154087018661,0.45210088122441333,0.0002053350581887551,0.0006200893549248576
2,0.7,0.4,0.8,0.6,32.83845437224136,0.021538798895693913,31.968024003653472,0.1528361640887228,0.38990902712443914,0.0001447343321689526,0.001435433339793235
2,0.7,0.4,0.8,1.0,32.8078194000907,0.02153129775634022,31.979455190545284,0.13882332330960134,0.39003042102400937,0.0001447343321689526,0.0009636684553697705
2,0.7,0.4,0.8,1.6,32.67171341888549,0.021595788264035628,31.88429702053096,0.12557581953728064,0.38886370437253437,0.0001447343321689526,0.0006200893549248576
2,0.7,0.4,1.2,0.6,26.837685497899407,0.021669455393683035,25.925623003110577,0.19261201894761232,0.312088787970504,0.00012521526622929786,0.001435433339793235
2,0.7,0.4,1.2,1.0,26.79508476194602,0.021690204692235458,25.90075843411121,0.18683925327308232,0.31179169820684355,0.00012521526622929786,0.0009636684553697705
2,0.7,0.4,1.2,1.6,26.680620729413803,0.02173002937284388,25.85328172814256,0.16472593746034173,0.31120756813102796,0.00012521526622929786,0.0006200893549248576
2,0.7,0.8,0.4,0.6,39.94056509197767,0.021667254490200523,39.01777087507796,0.14807610612629146,0.4564064135112379,0.0002053350581887551,0.001435433339793235
2,0.7,0.8,0.4,1.0,39.92028064411651,0.021671018608169362,39.01136812304526,0.14352442696516143,0.45631752051353036,0.0002053350581887551,0.0009636684553697705
2,0.7,0.8,0.4,1.6,39.84327848757947,0.021713582421966797,38.935275549183686,0.14354135494842318,0.45541766380461707,0.0002053350581887551,0.0006200893549248576
2,0.7,0.8,0.8,0.6,33.19304616270613,0.021607094647692685,32.662268149978246,0.038232042174556814,0.39400074125493867,0.0001447343321689526,0.001435433339793235
2,0.7,0.8,0.8,1.0,33.14192399972502,0.021624941137984587,32.63599495112765,0.030099212613941616,0.3936739487813091,0.0001447343321689526,0.0009636684553697705
2,0.7,0.8,0.8,1.6,33.155780518507115,0.02161995898911727,32.64393640788275,0.03207923906651385,0.3937569873295819,0.0001447343321689526,0.0006200893549248576
2,0.7,0.8,1.2,0.6,27.404935996586026,0.021681753441264846,26.674890883355776,0.1302341095163928,0.31719283665800124,0.00012521526622929786,0.001435433339793235
2,0.7,0.8,1.2,1.0,27.38244411869801,0.0216872366560588,26.66855002870341,0.12492347887456799,0.31710975159835564,0.00012521526622929786,0.0009636684553697705
2,0.7,0.8,1.2,1.6,27.335858110086495,0.021722068721936147,26.6257965303291,0.12384000893638188,0.3165958928399646,0.00012521526622929786,0.0006200893549248576
2,0.7,1.2,0.4,0.6,40.1880639558854,0.02196573554434157,39.49153468172154,0.0724594646043866,0.4566929142869714,0.0002053350581887551,0.001435433339793235
2,0.7,1.2,0.4,1.0,40.286612855474075,0.021934989178322692,39.547254993360596,0.08658434257049195,0.45731914416961855,0.0002053350581887551,0.0009636684553697705
2,0.7,1.2,0.4,1.6,40.31299797308823,0.021941957200998004,39.53470087585352,0.09965027436816498,0.4571566896052866,0.0002053350581887551,0.0006200893549248576
2,0.7,1.2,0.8,0.6,33.90302509891746,0.021847200583767396,33.24585013438074,0.07953183992198956,0.3962581938854061,0.0001447343321689526,0.001435433339793235
2,0.7,1.2,0.8,1.0,34.00661293541727,0.021796558355856636,33.32398698467538,0.08777910622002812,0.39715955288968846,0.0001447343321689526,0.0009636684553697705
2,0.7,1.2,0.8,1.6,34.029066827959745,0.021803912396037482,33.31288424695634,0.09904786286235256,0.39700563291419283,0.0001447343321689526,0.0006200893549248576
2,0.7,1.2,1.2,0.6,27.97859302249929,0.021811081176659152,27.43461986872097,0.06660244599591182,0.32188654003212114,0.00012521526622929786,0.001435433339793235
2,0.7,1.2,1.2,1.0,28.092985946159395,0.021769269896752336,27.487573257439227,0.08694195685392207,0.3224908831451662,0.00012521526622929786,0.0009636684553697705
2,0.7,1.2,1.2,1.6,28.09902480364342,0.0217734328458106,27.483020364126585,0.09052221097363441,0.3224407823637691,0.00012521526622929786,0.0006200893549248576
2,0.8,0.4,0.4,0.6,37.483688691204655,0.020185973099314764,35.15839697183347,0.6162116110542696,0.4559844960580922,0.00018595683011091158,0.001435433339793235
2,0.8,0.4,0.4,1.0,37.383556662519624,0.020222614446558748,35.09475987967509,0.6043567952027028,0.4551588952042219,0.00018595683011091158,0.0009636684553697705
2,0.8,0.4,0.4,1.6,37.30080445766602,0.020283716177953312,34.989497804557374,0.612328270182787,0.4537963125268242,0.00018595683011091158,0.0006200893549248576
2,0.8,0.4,0.8,0.6,31.835730248598356,0.020210749436515272,29.62027471820755,0.6017103952400742,0.3896421673661349,0.0001359928866494775,0.001435433339793235
2,0.8,0.4,0.8,1.0,31.836993193113432,0.020240024302305048,29.577394387215076,0.6166501416358554,0.3890784582858795,0.0001359928866494775,0.0009636684553697705
2,0.8,0.4,0.8,1.6,31.66117275982481,0.020337594323039897,29.435693837507774,0.6058984172676184,0.38721925151866954,0.0001359928866494775,0.0006200893549248576
2,0.8,0.4,1.2,0.6,26.40428692044292,0.020270822016311273,24.206844986477073,0.6203408286628049,0.31568185563751533,0.00012046773890266038,0.001435433339793235
2,0.8,0.4,1.2,1.0,26.33904024815116,0.02030710887879871,24.16427751384246,0.6129983694224579,0.31513527630424154,0.00012046773890266038,0.0009636684553697705
2,0.8,0.4,1.2,1.6,26.24793924231931,0.020393585555266693,24.06138930530194,0.6173803265854049,0.3137932045777384,0.00012046773890266038,0.0006200893549248576
2,0.8,0.8,0.4,0.6,36.694163790358004,0.020331122825771392,34.4382893102936,0.595980496221682,0.44711545152261145,0.00018595683011091158,0.001435433339793235
2,0.8,0.8,0.4,1.0,36.67632453291782,0.02031990126901649,34.45772366908488,0.5835230517544507,0.44736691971492415,0.00018595683011091158,0.0009636684553697705
2,0.8,0.8,0.4,1.6,36.559740976934386,0.020410326035948608,34.30449740149208,0.5964021346477811,0.4453850316074994,0.00018595683011091158,0.0006200893549248576
2,0.8,0.8,0.8,0.6,31.237567026842907,0.020297350173548338,29.004657010709877,0.6099281080239415,0.3823569140197246,0.0001359928866494775,0.001435433339793235
